BN,FPE,Form ID,200,210,220,230,240,250,260
107657678RR0001,2021-03-31,25,174552,Y,Y,174552,Y,N,N
107485633RR0001,2021-03-31,25,,N,N,,Y,N,N
866279425RR0001,2021-03-31,25,5097,N,,,,,
863989372RR0001,2021-03-31,25,144058,Y,N,,N,Y,N
107508160RR0001,2021-03-31,25,3863920,Y,N,,N,N,N
805816220RR0001,2021-03-31,25,,N,N,,N,N,N
119006724RR0002,2021-03-31,25,,N,N,,N,Y,N
103782793RR0001,2021-03-31,25,,N,N,,N,Y,N
841814965RR0001,2021-03-31,25,42415,Y,N,,N,N,N
108152349RR0001,2021-03-31,25,2299150,N,N,,Y,N,N
884778408RR0001,2021-03-31,25,55204,N,N,,N,N,N
855552097RR0001,2021-05-31,25,0,N,N,,Y,Y,N
132056631RR0001,2021-03-31,25,169205,N,Y,85739,Y,N,N
107951618RR0001,2021-03-31,25,4961213,Y,N,,N,Y,N
106422421RR0001,2021-03-31,25,5343,N,N,,N,Y,N
892874967RR0001,2021-03-31,25,20000,Y,N,,N,N,N
886806561RR0001,2021-03-31,25,2014361,Y,Y,1224247,Y,N,N
765562475RR0001,2021-03-31,25,3824,N,N,,N,Y,N
844241679RR0001,2021-03-31,25,218468,Y,N,,N,N,N
119259505RR0001,2021-03-31,25,106650,N,N,,N,N,N
819171133RR0001,2021-05-31,25,38115,N,N,,N,N,Y
