BN,FPE,Form ID,100,110,120,130
119012607RR0001,2021-03-31,25,,,,
139087340RR0001,2021-03-31,25,,,,
894654409RR0001,2021-03-31,25,,,,
107795122RR0001,2021-04-30,25,,,,
133978148RR0001,2021-03-31,25,,,,
131929101RR0002,2021-03-31,25,,,,
108109976RR0001,2021-03-31,25,,,,
891962169RR0001,2021-03-31,25,,,,
885637405RR0001,2021-03-31,25,,,,
107467326RR0002,2021-03-31,25,,,,
119145902RR0001,2021-03-31,25,,,,
137604195RR0001,2021-03-31,25,,,,
893512236RR0001,2021-03-31,25,,,,
813456555RR0001,2021-03-31,25,,,,
802512640RR0001,2021-03-31,25,,,,
132962507RR0001,2021-03-31,25,,,,
119718179RR0001,2021-01-31,24,,,,
807497672RR0001,2021-01-31,25,,,,
888774866RR0001,2021-03-31,25,,,,
835406687RR0001,2021-01-31,25,N,N,,
131227829RR0001,2021-03-31,25,,,,
